I0624 20:37:35.970782 16949 fragment_loader.cc:23] [worker1]: Begin loading rfile...
I0624 20:37:36.028973 16596 fragment_loader.cc:23] [worker2]: Begin loading rfile...
I0624 20:37:36.077271  7065 fragment_loader.cc:23] [worker3]: Begin loading rfile...
I0624 20:37:36.084792 25120 fragment_loader.cc:23] [worker8]: Begin loading rfile...
I0624 20:37:36.134640 17934 fragment_loader.cc:23] [worker7]: Begin loading rfile...
I0624 20:37:36.095073 17645 fragment_loader.cc:23] [worker6]: Begin loading rfile...
I0624 20:37:35.724373 30372 fragment_loader.cc:23] [worker5]: Begin loading rfile...
I0624 20:37:36.067687 23633 fragment_loader.cc:23] [worker4]: Begin loading rfile...
I0624 20:37:37.258740 30372 fragment_loader.cc:51] [worker5]: Finished loading rfile...
I0624 20:37:37.506734 16949 fragment_loader.cc:49] frag-21 vertex num is 25465
I0624 20:37:37.506737 16949 fragment_loader.cc:49] frag-22 vertex num is 27900
I0624 20:37:37.506741 16949 fragment_loader.cc:49] frag-23 vertex num is 17491
I0624 20:37:37.506743 16949 fragment_loader.cc:49] frag-24 vertex num is 16530
I0624 20:37:37.506747 16949 fragment_loader.cc:49] frag-25 vertex num is 28077
I0624 20:37:37.506750 16949 fragment_loader.cc:49] frag-26 vertex num is 28037
I0624 20:37:37.506753 16949 fragment_loader.cc:49] frag-27 vertex num is 28071
I0624 20:37:37.506757 16949 fragment_loader.cc:49] frag-28 vertex num is 28075
I0624 20:37:37.506760 16949 fragment_loader.cc:49] frag-29 vertex num is 8868
I0624 20:37:37.506763 16949 fragment_loader.cc:49] frag-30 vertex num is 28066
I0624 20:37:37.259949 30372 fragment_loader.cc:75] [worker5]: Begin loading efile... local frag num is 24
I0624 20:37:37.506767 16949 fragment_loader.cc:49] frag-31 vertex num is 28077
I0624 20:37:37.506770 16949 fragment_loader.cc:49] frag-32 vertex num is 9148
I0624 20:37:37.506773 16949 fragment_loader.cc:49] frag-33 vertex num is 21245
I0624 20:37:37.506778 16949 fragment_loader.cc:49] frag-34 vertex num is 26150
I0624 20:37:37.506780 16949 fragment_loader.cc:49] frag-35 vertex num is 28000
I0624 20:37:37.506783 16949 fragment_loader.cc:49] frag-36 vertex num is 28075
I0624 20:37:37.506786 16949 fragment_loader.cc:49] frag-37 vertex num is 28075
I0624 20:37:37.506790 16949 fragment_loader.cc:49] frag-38 vertex num is 28075
I0624 20:37:37.506793 16949 fragment_loader.cc:49] frag-39 vertex num is 28076
I0624 20:37:37.506796 16949 fragment_loader.cc:49] frag-40 vertex num is 28066
I0624 20:37:37.506800 16949 fragment_loader.cc:49] frag-41 vertex num is 22848
I0624 20:37:37.506803 16949 fragment_loader.cc:49] frag-42 vertex num is 28076
I0624 20:37:37.506806 16949 fragment_loader.cc:49] frag-43 vertex num is 9479
I0624 20:37:37.506809 16949 fragment_loader.cc:49] frag-44 vertex num is 28065
I0624 20:37:37.506814 16949 fragment_loader.cc:49] frag-45 vertex num is 28056
I0624 20:37:37.506816 16949 fragment_loader.cc:49] frag-46 vertex num is 28071
I0624 20:37:37.506820 16949 fragment_loader.cc:49] frag-47 vertex num is 18832
I0624 20:37:37.506824 16949 fragment_loader.cc:49] frag-48 vertex num is 28065
I0624 20:37:37.506826 16949 fragment_loader.cc:49] frag-49 vertex num is 27750
I0624 20:37:37.506829 16949 fragment_loader.cc:49] frag-50 vertex num is 23280
I0624 20:37:37.506834 16949 fragment_loader.cc:49] frag-51 vertex num is 28073
I0624 20:37:37.506836 16949 fragment_loader.cc:49] frag-52 vertex num is 27949
I0624 20:37:37.506855 16949 fragment_loader.cc:49] frag-53 vertex num is 28060
I0624 20:37:37.506858 16949 fragment_loader.cc:49] frag-54 vertex num is 28079
I0624 20:37:37.506861 16949 fragment_loader.cc:49] frag-55 vertex num is 28076
I0624 20:37:37.506865 16949 fragment_loader.cc:49] frag-56 vertex num is 24463
I0624 20:37:37.506870 16949 fragment_loader.cc:49] frag-57 vertex num is 28062
I0624 20:37:37.506872 16949 fragment_loader.cc:49] frag-58 vertex num is 28074
I0624 20:37:37.506875 16949 fragment_loader.cc:49] frag-59 vertex num is 28066
I0624 20:37:37.506880 16949 fragment_loader.cc:49] frag-60 vertex num is 28063
I0624 20:37:37.506882 16949 fragment_loader.cc:49] frag-61 vertex num is 23506
I0624 20:37:37.506886 16949 fragment_loader.cc:49] frag-62 vertex num is 16719
I0624 20:37:37.506888 16949 fragment_loader.cc:49] frag-63 vertex num is 28063
I0624 20:37:37.506891 16949 fragment_loader.cc:49] frag-64 vertex num is 27433
I0624 20:37:37.506896 16949 fragment_loader.cc:49] frag-65 vertex num is 27985
I0624 20:37:37.506898 16949 fragment_loader.cc:49] frag-66 vertex num is 22346
I0624 20:37:37.506901 16949 fragment_loader.cc:49] frag-67 vertex num is 28070
I0624 20:37:37.506904 16949 fragment_loader.cc:49] frag-68 vertex num is 28072
I0624 20:37:37.506907 16949 fragment_loader.cc:49] frag-69 vertex num is 28072
I0624 20:37:37.506911 16949 fragment_loader.cc:49] frag-70 vertex num is 24454
I0624 20:37:37.506914 16949 fragment_loader.cc:49] frag-71 vertex num is 28069
I0624 20:37:37.506917 16949 fragment_loader.cc:49] frag-72 vertex num is 22083
I0624 20:37:37.506920 16949 fragment_loader.cc:49] frag-73 vertex num is 28061
I0624 20:37:37.506924 16949 fragment_loader.cc:49] frag-74 vertex num is 28069
I0624 20:37:37.506927 16949 fragment_loader.cc:49] frag-75 vertex num is 14856
I0624 20:37:37.506930 16949 fragment_loader.cc:49] frag-76 vertex num is 26904
I0624 20:37:37.506933 16949 fragment_loader.cc:49] frag-77 vertex num is 28048
I0624 20:37:37.506937 16949 fragment_loader.cc:49] frag-78 vertex num is 28065
I0624 20:37:37.506940 16949 fragment_loader.cc:49] frag-79 vertex num is 28066
I0624 20:37:37.506943 16949 fragment_loader.cc:49] frag-80 vertex num is 28075
I0624 20:37:37.506947 16949 fragment_loader.cc:49] frag-81 vertex num is 28073
I0624 20:37:37.506950 16949 fragment_loader.cc:49] frag-82 vertex num is 26049
I0624 20:37:37.506953 16949 fragment_loader.cc:49] frag-83 vertex num is 24661
I0624 20:37:37.506956 16949 fragment_loader.cc:49] frag-84 vertex num is 28077
I0624 20:37:37.506960 16949 fragment_loader.cc:49] frag-85 vertex num is 12262
I0624 20:37:37.506963 16949 fragment_loader.cc:49] frag-86 vertex num is 24288
I0624 20:37:37.506966 16949 fragment_loader.cc:49] frag-87 vertex num is 22423
I0624 20:37:37.506969 16949 fragment_loader.cc:49] frag-88 vertex num is 28060
I0624 20:37:37.506973 16949 fragment_loader.cc:49] frag-89 vertex num is 28068
I0624 20:37:37.506976 16949 fragment_loader.cc:49] frag-90 vertex num is 16882
I0624 20:37:37.506979 16949 fragment_loader.cc:49] frag-91 vertex num is 28077
I0624 20:37:37.506983 16949 fragment_loader.cc:49] frag-92 vertex num is 27072
I0624 20:37:37.506985 16949 fragment_loader.cc:49] frag-93 vertex num is 28063
I0624 20:37:37.506989 16949 fragment_loader.cc:49] frag-94 vertex num is 25657
I0624 20:37:37.506992 16949 fragment_loader.cc:49] frag-95 vertex num is 28054
I0624 20:37:37.506995 16949 fragment_loader.cc:49] frag-96 vertex num is 28053
I0624 20:37:37.506999 16949 fragment_loader.cc:49] frag-97 vertex num is 27934
I0624 20:37:37.507002 16949 fragment_loader.cc:49] frag-98 vertex num is 27487
I0624 20:37:37.507005 16949 fragment_loader.cc:49] frag-99 vertex num is 18872
I0624 20:37:37.507009 16949 fragment_loader.cc:49] frag-100 vertex num is 28069
I0624 20:37:37.507012 16949 fragment_loader.cc:49] frag-101 vertex num is 28074
I0624 20:37:37.507015 16949 fragment_loader.cc:49] frag-102 vertex num is 28075
I0624 20:37:37.507019 16949 fragment_loader.cc:49] frag-103 vertex num is 12953
I0624 20:37:37.507026 16949 fragment_loader.cc:49] frag-104 vertex num is 23245
I0624 20:37:37.507030 16949 fragment_loader.cc:49] frag-105 vertex num is 28068
I0624 20:37:37.507033 16949 fragment_loader.cc:49] frag-106 vertex num is 25564
I0624 20:37:37.507037 16949 fragment_loader.cc:49] frag-107 vertex num is 23465
I0624 20:37:37.507040 16949 fragment_loader.cc:49] frag-108 vertex num is 28065
I0624 20:37:37.507043 16949 fragment_loader.cc:49] frag-109 vertex num is 27965
I0624 20:37:37.507047 16949 fragment_loader.cc:49] frag-110 vertex num is 28055
I0624 20:37:37.507050 16949 fragment_loader.cc:49] frag-111 vertex num is 28078
I0624 20:37:37.507053 16949 fragment_loader.cc:49] frag-112 vertex num is 28078
I0624 20:37:37.507057 16949 fragment_loader.cc:49] frag-113 vertex num is 28076
I0624 20:37:37.507061 16949 fragment_loader.cc:49] frag-114 vertex num is 21866
I0624 20:37:37.507063 16949 fragment_loader.cc:49] frag-115 vertex num is 28076
I0624 20:37:37.507067 16949 fragment_loader.cc:49] frag-116 vertex num is 28069
I0624 20:37:37.507071 16949 fragment_loader.cc:49] frag-117 vertex num is 28074
I0624 20:37:37.507073 16949 fragment_loader.cc:49] frag-118 vertex num is 21284
I0624 20:37:37.507076 16949 fragment_loader.cc:49] frag-119 vertex num is 27776
I0624 20:37:37.507079 16949 fragment_loader.cc:49] frag-120 vertex num is 20804
I0624 20:37:37.507083 16949 fragment_loader.cc:49] frag-121 vertex num is 7561
I0624 20:37:37.507086 16949 fragment_loader.cc:49] frag-122 vertex num is 28075
I0624 20:37:37.507089 16949 fragment_loader.cc:49] frag-123 vertex num is 28074
I0624 20:37:37.507093 16949 fragment_loader.cc:49] frag-124 vertex num is 28073
I0624 20:37:37.507097 16949 fragment_loader.cc:49] frag-125 vertex num is 28074
I0624 20:37:37.507099 16949 fragment_loader.cc:49] frag-126 vertex num is 26111
I0624 20:37:37.507102 16949 fragment_loader.cc:49] frag-127 vertex num is 28078
I0624 20:37:37.507107 16949 fragment_loader.cc:49] frag-128 vertex num is 16290
I0624 20:37:37.507109 16949 fragment_loader.cc:49] frag-129 vertex num is 22412
I0624 20:37:37.507112 16949 fragment_loader.cc:49] frag-130 vertex num is 28050
I0624 20:37:37.507115 16949 fragment_loader.cc:49] frag-131 vertex num is 24973
I0624 20:37:37.507119 16949 fragment_loader.cc:49] frag-132 vertex num is 22214
I0624 20:37:37.507122 16949 fragment_loader.cc:49] frag-133 vertex num is 28075
I0624 20:37:37.507125 16949 fragment_loader.cc:49] frag-134 vertex num is 28066
I0624 20:37:37.507128 16949 fragment_loader.cc:49] frag-135 vertex num is 28022
I0624 20:37:37.507133 16949 fragment_loader.cc:49] frag-136 vertex num is 27400
I0624 20:37:37.507135 16949 fragment_loader.cc:49] frag-137 vertex num is 28066
I0624 20:37:37.507138 16949 fragment_loader.cc:49] frag-138 vertex num is 28073
I0624 20:37:37.507141 16949 fragment_loader.cc:49] frag-139 vertex num is 27221
I0624 20:37:37.507145 16949 fragment_loader.cc:49] frag-140 vertex num is 24704
I0624 20:37:37.507148 16949 fragment_loader.cc:49] frag-141 vertex num is 27185
I0624 20:37:37.507151 16949 fragment_loader.cc:49] frag-142 vertex num is 28052
I0624 20:37:37.507154 16949 fragment_loader.cc:49] frag-143 vertex num is 16325
I0624 20:37:37.507158 16949 fragment_loader.cc:49] frag-144 vertex num is 27965
I0624 20:37:37.507161 16949 fragment_loader.cc:49] frag-145 vertex num is 28070
I0624 20:37:37.507164 16949 fragment_loader.cc:49] frag-146 vertex num is 27677
I0624 20:37:37.507167 16949 fragment_loader.cc:49] frag-147 vertex num is 26333
I0624 20:37:37.507170 16949 fragment_loader.cc:49] frag-148 vertex num is 28038
I0624 20:37:37.507174 16949 fragment_loader.cc:49] frag-149 vertex num is 15947
I0624 20:37:37.507177 16949 fragment_loader.cc:49] frag-150 vertex num is 27796
I0624 20:37:37.507180 16949 fragment_loader.cc:49] frag-151 vertex num is 28073
I0624 20:37:37.507184 16949 fragment_loader.cc:49] frag-152 vertex num is 28071
I0624 20:37:37.507187 16949 fragment_loader.cc:49] frag-153 vertex num is 7179
I0624 20:37:37.507190 16949 fragment_loader.cc:49] frag-154 vertex num is 28050
I0624 20:37:37.507194 16949 fragment_loader.cc:49] frag-155 vertex num is 28060
I0624 20:37:37.507200 16949 fragment_loader.cc:49] frag-156 vertex num is 28006
I0624 20:37:37.507203 16949 fragment_loader.cc:49] frag-157 vertex num is 28073
I0624 20:37:37.507207 16949 fragment_loader.cc:49] frag-158 vertex num is 28063
I0624 20:37:37.507210 16949 fragment_loader.cc:49] frag-159 vertex num is 19521
I0624 20:37:37.507213 16949 fragment_loader.cc:49] frag-160 vertex num is 28070
I0624 20:37:37.507217 16949 fragment_loader.cc:49] frag-161 vertex num is 22218
I0624 20:37:37.507220 16949 fragment_loader.cc:49] frag-162 vertex num is 7926
I0624 20:37:37.507223 16949 fragment_loader.cc:49] frag-163 vertex num is 28057
I0624 20:37:37.507227 16949 fragment_loader.cc:49] frag-164 vertex num is 28036
I0624 20:37:37.507230 16949 fragment_loader.cc:49] frag-165 vertex num is 28066
I0624 20:37:37.507233 16949 fragment_loader.cc:49] frag-166 vertex num is 28074
I0624 20:37:37.507236 16949 fragment_loader.cc:49] frag-167 vertex num is 25007
I0624 20:37:37.507239 16949 fragment_loader.cc:49] frag-168 vertex num is 28077
I0624 20:37:37.507243 16949 fragment_loader.cc:49] frag-169 vertex num is 28076
I0624 20:37:37.507246 16949 fragment_loader.cc:49] frag-170 vertex num is 28079
I0624 20:37:37.507249 16949 fragment_loader.cc:49] frag-171 vertex num is 28066
I0624 20:37:37.507252 16949 fragment_loader.cc:49] frag-172 vertex num is 25538
I0624 20:37:37.507256 16949 fragment_loader.cc:49] frag-173 vertex num is 14470
I0624 20:37:37.507259 16949 fragment_loader.cc:49] frag-174 vertex num is 28057
I0624 20:37:37.507262 16949 fragment_loader.cc:49] frag-175 vertex num is 28063
I0624 20:37:37.507266 16949 fragment_loader.cc:49] frag-176 vertex num is 28073
I0624 20:37:37.507269 16949 fragment_loader.cc:49] frag-177 vertex num is 28065
I0624 20:37:37.507272 16949 fragment_loader.cc:49] frag-178 vertex num is 28065
I0624 20:37:37.507275 16949 fragment_loader.cc:49] frag-179 vertex num is 28028
I0624 20:37:37.507278 16949 fragment_loader.cc:49] frag-180 vertex num is 28077
I0624 20:37:37.507282 16949 fragment_loader.cc:49] frag-181 vertex num is 28066
I0624 20:37:37.507285 16949 fragment_loader.cc:49] frag-182 vertex num is 28076
I0624 20:37:37.507297 16949 fragment_loader.cc:49] frag-183 vertex num is 14096
I0624 20:37:37.507302 16949 fragment_loader.cc:49] frag-184 vertex num is 28069
I0624 20:37:37.507304 16949 fragment_loader.cc:49] frag-185 vertex num is 28039
I0624 20:37:37.507308 16949 fragment_loader.cc:49] frag-186 vertex num is 28030
I0624 20:37:37.507311 16949 fragment_loader.cc:49] frag-187 vertex num is 16350
I0624 20:37:37.507314 16949 fragment_loader.cc:49] frag-188 vertex num is 28077
I0624 20:37:37.507318 16949 fragment_loader.cc:49] frag-189 vertex num is 16696
I0624 20:37:37.507321 16949 fragment_loader.cc:49] frag-190 vertex num is 28076
I0624 20:37:37.507324 16949 fragment_loader.cc:49] frag-191 vertex num is 24336
I0624 20:37:37.507328 16949 fragment_loader.cc:51] [worker1]: Finished loading rfile...
I0624 20:37:37.508198 16949 fragment_loader.cc:75] [worker1]: Begin loading efile... local frag num is 24
I0624 20:37:37.588557 16596 fragment_loader.cc:51] [worker2]: Finished loading rfile...
I0624 20:37:37.589373 16596 fragment_loader.cc:75] [worker2]: Begin loading efile... local frag num is 24
I0624 20:37:37.641997  7065 fragment_loader.cc:51] [worker3]: Finished loading rfile...
I0624 20:37:37.642990  7065 fragment_loader.cc:75] [worker3]: Begin loading efile... local frag num is 24
I0624 20:37:37.701603 17934 fragment_loader.cc:51] [worker7]: Finished loading rfile...
I0624 20:37:37.702620 17934 fragment_loader.cc:75] [worker7]: Begin loading efile... local frag num is 24
I0624 20:37:37.690418 17645 fragment_loader.cc:51] [worker6]: Finished loading rfile...
I0624 20:37:37.691478 17645 fragment_loader.cc:75] [worker6]: Begin loading efile... local frag num is 24
I0624 20:37:37.779800 25120 fragment_loader.cc:51] [worker8]: Finished loading rfile...
I0624 20:37:37.780928 25120 fragment_loader.cc:75] [worker8]: Begin loading efile... local frag num is 24
I0624 20:37:37.834625 23633 fragment_loader.cc:51] [worker4]: Finished loading rfile...
I0624 20:37:37.835630 23633 fragment_loader.cc:75] [worker4]: Begin loading efile... local frag num is 24
I0624 20:38:01.359963 16949 fragment_loader.cc:182] [worker1]: Finished loading efile...
I0624 20:38:01.361099 16949 fragment_loader.cc:197] [worker1]: Begin loading vfile... vnum is 4900578
I0624 20:38:01.349458 30372 fragment_loader.cc:182] [worker5]: Finished loading efile...
I0624 20:38:01.350406 30372 fragment_loader.cc:197] [worker5]: Begin loading vfile... vnum is 4900578
I0624 20:38:02.052978 17645 fragment_loader.cc:182] [worker6]: Finished loading efile...
I0624 20:38:02.053987 17645 fragment_loader.cc:197] [worker6]: Begin loading vfile... vnum is 4900578
I0624 20:38:02.148181 16596 fragment_loader.cc:182] [worker2]: Finished loading efile...
I0624 20:38:02.149062 16596 fragment_loader.cc:197] [worker2]: Begin loading vfile... vnum is 4900578
I0624 20:38:02.408977  7065 fragment_loader.cc:182] [worker3]: Finished loading efile...
I0624 20:38:02.410006  7065 fragment_loader.cc:197] [worker3]: Begin loading vfile... vnum is 4900578
I0624 20:38:03.530501 17934 fragment_loader.cc:182] [worker7]: Finished loading efile...
I0624 20:38:03.531599 17934 fragment_loader.cc:197] [worker7]: Begin loading vfile... vnum is 4900578
I0624 20:38:05.343364 25120 fragment_loader.cc:182] [worker8]: Finished loading efile...
I0624 20:38:05.344360 25120 fragment_loader.cc:197] [worker8]: Begin loading vfile... vnum is 4900578
I0624 20:38:07.132318 23633 fragment_loader.cc:182] [worker4]: Finished loading efile...
I0624 20:38:07.133266 23633 fragment_loader.cc:197] [worker4]: Begin loading vfile... vnum is 4900578
I0624 20:38:11.389195 17645 fragment_loader.cc:210] [worker6]: Finished loading vfile...
I0624 20:38:11.477331 17645 fragment.cc:50] 6 11 37545
I0624 20:38:11.486196 17645 fragment.cc:50] 6 11 36823
I0624 20:38:11.503846 17645 fragment.cc:50] 6 11 103512
I0624 20:38:11.559134 17645 fragment.cc:50] 6 11 18175
I0624 20:38:11.567674 17645 fragment.cc:50] 6 11 85444
I0624 20:38:11.620683 17645 fragment.cc:50] 6 11 63590
I0624 20:38:11.647589 17645 fragment.cc:50] 6 11 44724
I0624 20:38:11.663012 17645 fragment.cc:50] 6 11 43420
I0624 20:38:11.681598 17645 fragment.cc:50] 6 11 42831
I0624 20:38:11.698045 17645 fragment.cc:50] 6 11 60025
I0624 20:38:11.729578 17645 fragment.cc:50] 6 11 35816
I0624 20:38:11.665186 16596 fragment_loader.cc:210] [worker2]: Finished loading vfile...
I0624 20:38:11.740784 17645 fragment.cc:50] 6 11 42656
I0624 20:38:11.754000 17645 fragment.cc:50] 6 11 39059
I0624 20:38:11.768883 17645 fragment.cc:50] 6 11 56892
I0624 20:38:11.800175 17645 fragment.cc:50] 6 11 94975
I0624 20:38:11.768666 16596 fragment.cc:50] 2 11 59214
I0624 20:38:11.875619 17645 fragment.cc:50] 6 11 55801
I0624 20:38:11.812821 16596 fragment.cc:50] 2 11 74638
I0624 20:38:11.766496 16949 fragment_loader.cc:210] [worker1]: Finished loading vfile...
I0624 20:38:11.900844 17645 fragment.cc:50] 6 11 49667
I0624 20:38:11.857452 16596 fragment.cc:50] 2 11 134820
I0624 20:38:11.926038 17645 fragment.cc:50] 6 11 75445
I0624 20:38:11.968437 17645 fragment.cc:50] 6 11 50067
I0624 20:38:11.994146 17645 fragment.cc:50] 6 11 95097
I0624 20:38:11.886207 16949 fragment.cc:50] 1 11 96399
I0624 20:38:11.958703 16596 fragment.cc:50] 2 11 48058
I0624 20:38:11.982389 16596 fragment.cc:50] 2 11 47165
I0624 20:38:11.933310 16949 fragment.cc:50] 1 11 56218
I0624 20:38:12.061132 17645 fragment.cc:50] 6 11 47545
I0624 20:38:11.999213 16596 fragment.cc:50] 2 11 32495
I0624 20:38:12.011787 16596 fragment.cc:50] 2 11 67090
I0624 20:38:11.959551 16949 fragment.cc:50] 1 11 41232
I0624 20:38:11.974290 16949 fragment.cc:50] 1 11 43220
I0624 20:38:12.103044 17645 fragment.cc:50] 6 11 56024
I0624 20:38:11.992322 16949 fragment.cc:50] 1 11 31807
I0624 20:38:12.058368 16596 fragment.cc:50] 2 11 54342
I0624 20:38:12.002506 16949 fragment.cc:50] 1 11 61096
I0624 20:38:12.131759 17645 fragment.cc:50] 6 11 68907
I0624 20:38:12.094499 16596 fragment.cc:50] 2 11 48007
I0624 20:38:12.047906 16949 fragment.cc:50] 1 11 54802
I0624 20:38:12.172899 17645 fragment.cc:50] 6 11 32675
I0624 20:38:12.116855 16596 fragment.cc:50] 2 11 60321
I0624 20:38:12.073774 16949 fragment.cc:50] 1 11 57248
I0624 20:38:12.146673 16596 fragment.cc:50] 2 11 55306
I0624 20:38:12.102226 16949 fragment.cc:50] 1 11 86031
I0624 20:38:12.179716 16596 fragment.cc:50] 2 11 100265
I0624 20:38:12.149040 16949 fragment.cc:50] 1 11 45336
I0624 20:38:12.168593 16949 fragment.cc:50] 1 11 62294
I0624 20:38:12.237774 16596 fragment.cc:50] 2 11 76939
I0624 20:38:12.216980 16949 fragment.cc:50] 1 11 47712
I0624 20:38:12.236461 16949 fragment.cc:50] 1 11 61131
I0624 20:38:12.299643 16596 fragment.cc:50] 2 11 59953
I0624 20:38:12.261123 16949 fragment.cc:50] 1 11 49942
I0624 20:38:12.329157 16596 fragment.cc:50] 2 11 44596
I0624 20:38:12.345135 16596 fragment.cc:50] 2 11 11596
I0624 20:38:12.291489 16949 fragment.cc:50] 1 11 120759
I0624 20:38:12.352331 16596 fragment.cc:50] 2 11 70875
I0624 20:38:12.390605 16596 fragment.cc:50] 2 11 53097
I0624 20:38:12.414217 16596 fragment.cc:50] 2 11 80674
I0624 20:38:12.361905 16949 fragment.cc:50] 1 11 53602
I0624 20:38:12.127760 30372 fragment_loader.cc:210] [worker5]: Finished loading vfile...
I0624 20:38:12.387938 16949 fragment.cc:50] 1 11 56734
I0624 20:38:12.456969 16596 fragment.cc:50] 2 11 24583
I0624 20:38:12.467411 16596 fragment.cc:50] 2 11 66201
I0624 20:38:12.410305 16949 fragment.cc:50] 1 11 75077
I0624 20:38:12.495528 16596 fragment.cc:50] 2 11 41814
I0624 20:38:12.451838 16949 fragment.cc:50] 1 11 62940
I0624 20:38:12.512364 16596 fragment.cc:50] 2 11 74805
I0624 20:38:12.484997 16949 fragment.cc:50] 1 11 73676
I0624 20:38:12.568485 16596 fragment.cc:50] 2 11 52856
I0624 20:38:12.265847 30372 fragment.cc:50] 5 11 84598
I0624 20:38:12.522480 16949 fragment.cc:50] 1 11 74348
I0624 20:38:12.307683 30372 fragment.cc:50] 5 11 67054
I0624 20:38:12.567034 16949 fragment.cc:50] 1 11 77154
I0624 20:38:12.345978 30372 fragment.cc:50] 5 11 89649
I0624 20:38:12.610472 16949 fragment.cc:50] 1 11 55230
I0624 20:38:12.641008 16949 fragment.cc:50] 1 11 96834
I0624 20:38:12.751884  7065 fragment_loader.cc:210] [worker3]: Finished loading vfile...
I0624 20:38:12.403620 30372 fragment.cc:50] 5 11 83942
I0624 20:38:12.452301 30372 fragment.cc:50] 5 11 89892
I0624 20:38:12.510640 30372 fragment.cc:50] 5 11 97333
I0624 20:38:12.900123  7065 fragment.cc:50] 3 11 136096
I0624 20:38:12.569185 30372 fragment.cc:50] 5 11 56936
I0624 20:38:12.592288 30372 fragment.cc:50] 5 11 56939
I0624 20:38:12.629868 30372 fragment.cc:50] 5 11 70736
I0624 20:38:12.999058  7065 fragment.cc:50] 3 11 52742
I0624 20:38:12.672590 30372 fragment.cc:50] 5 11 75855
I0624 20:38:13.027552  7065 fragment.cc:50] 3 11 87925
I0624 20:38:12.714607 30372 fragment.cc:50] 5 11 69755
I0624 20:38:13.085882  7065 fragment.cc:50] 3 11 51162
I0624 20:38:12.747141 30372 fragment.cc:50] 5 11 43029
I0624 20:38:13.105765  7065 fragment.cc:50] 3 11 58826
I0624 20:38:12.764686 30372 fragment.cc:50] 5 11 78799
I0624 20:38:13.139485  7065 fragment.cc:50] 3 11 153274
I0624 20:38:12.810523 30372 fragment.cc:50] 5 11 42945
I0624 20:38:12.834180 30372 fragment.cc:50] 5 11 112357
I0624 20:38:13.244643  7065 fragment.cc:50] 3 11 58192
I0624 20:38:13.273916  7065 fragment.cc:50] 3 11 49585
I0624 20:38:13.297793  7065 fragment.cc:50] 3 11 40979
I0624 20:38:13.318023  7065 fragment.cc:50] 3 11 100392
I0624 20:38:12.966323 30372 fragment.cc:50] 5 11 56732
I0624 20:38:12.994264 30372 fragment.cc:50] 5 11 45617
I0624 20:38:13.031397 30372 fragment.cc:50] 5 11 122061
I0624 20:38:13.405162  7065 fragment.cc:50] 3 11 77780
I0624 20:38:13.439129  7065 fragment.cc:50] 3 11 39006
I0624 20:38:13.093753 30372 fragment.cc:50] 5 11 70022
I0624 20:38:13.453248  7065 fragment.cc:50] 3 11 51444
